"วันที่"|"สัญชาติ"|"จำนวน"|"ค่าปรับ"
"2022-08-08"|"USA"|"1"|"1500"
"2022-08-08"|"DEU"|"1"|"20000"
"2022-08-09"|"USA"|"1"|"2000"
"2022-08-12"|"SGP"|"1"|"1000"
"2022-08-13"|"CHN"|"1"|"2500"
"2022-08-17"|"HKG"|"1"|"12000"
"2022-08-17"|"HKG"|"1"|"12000"
"2022-08-17"|"CHE"|"1"|"1000"
"2022-08-23"|"USA"|"1"|"1000"
"2022-08-26"|"AUS"|"1"|"2000"
"2022-08-28"|"USA"|"1"|"1000"
"2022-08-29"|"DEU"|"1"|"2000"
"2022-08-29"|"ESP"|"1"|"1000"
"2022-08-30"|"NLD"|"1"|"1500"
"2022-08-31"|"MYS"|"1"|"7000"
"2022-10-02"|"SGP"|"2"|"2000"
"2022-10-02"|"PHL"|"1"|"1000"
"2022-10-03"|"MYS"|"1"|"20000"
"2022-10-03"|"USA"|"1"|"1000"
"2022-10-05"|"USA"|"1"|"2000"
"2022-10-05"|"AUS"|"1"|"6000"
"2022-10-05"|"MYS"|"1"|"20000"
"2022-10-05"|"MYS"|"1"|"20000"
"2022-10-05"|"ISL"|"1"|"3000"
"2022-10-05"|"USA"|"1"|"20000"
"2022-10-06"|"VNM"|"1"|"8500"
"2022-10-06"|"NLD"|"2"|"2000"
"2022-10-06"|"FRA"|"1"|"1000"
"2022-10-07"|"CHN"|"1"|"3000"
"2022-10-07"|"AUS"|"1"|"1000"
"2022-10-07"|"PER"|"1"|"3500"
"2022-10-09"|"VNM"|"1"|"20000"
"2022-10-09"|"FRA"|"1"|"1000"
"2022-10-10"|"AUS"|"1"|"1000"
"2022-10-10"|"KOR"|"1"|"1500"
"2022-10-11"|"USA"|"1"|"5500"
"2022-10-11"|"NLD"|"1"|"20000"
"2022-10-12"|"CAN"|"1"|"2000"
"2022-10-13"|"CAN"|"1"|"4000"
"2022-10-16"|"GBR"|"1"|"1000"
"2022-10-16"|"USA"|"2"|"5500"
"2022-10-16"|"MEX"|"1"|"1500"
"2022-10-19"|"USA"|"1"|"14500"
"2022-10-19"|"MYS"|"1"|"11500"
"2022-10-19"|"CAN"|"1"|"1000"
"2022-10-20"|"GBR"|"1"|"7000"
"2022-10-20"|"AUS"|"1"|"3500"
"2022-10-21"|"GBR"|"1"|"20000"
"2022-10-22"|"CHN"|"1"|"2500"
"2022-10-22"|"AUS"|"1"|"1500"
"2022-10-23"|"NLD"|"2"|"5500"
"2022-10-23"|"AUS"|"1"|"1500"
"2022-10-23"|"USA"|"1"|"2000"
"2022-10-26"|"CHN"|"1"|"5500"
"2022-10-26"|"AUS"|"1"|"1500"
"2022-10-27"|"GBR"|"1"|"2000"
"2022-10-27"|"BEL"|"1"|"2000"
"2022-10-28"|"CHN"|"1"|"1000"
"2022-10-28"|"DEU"|"1"|"14000"
"2022-10-29"|"RUS"|"1"|"1500"
"2022-10-29"|"USA"|"1"|"1000"
"2022-10-30"|"USA"|"1"|"17500"
"2022-10-30"|"MMR"|"1"|"1000"
"2022-10-30"|"NLD"|"2"|"2000"
"2022-10-30"|"NZL"|"1"|"1500"
"2022-10-30"|"USA"|"1"|"16500"
"2022-10-31"|"VNM"|"1"|"4000"
"2022-11-01"|"MMR"|"1"|"1000"
"2022-11-01"|"USA"|"1"|"1500"
"2022-11-02"|"USA"|"1"|"3000"
"2022-11-02"|"USA"|"1"|"5500"
"2022-11-02"|"USA"|"1"|"4000"
"2022-11-02"|"USA"|"1"|"4000"
"2022-11-03"|"USA"|"1"|"3000"
"2022-11-03"|"AUS"|"1"|"3500"
"2022-11-03"|"USA"|"1"|"2500"
"2022-11-03"|"USA"|"1"|"2500"
"2022-11-03"|"USA"|"1"|"8000"
"2022-11-05"|"TWN"|"1"|"7000"
"2022-11-06"|"MMR"|"1"|"20000"
"2022-11-06"|"NLD"|"1"|"2500"
"2022-11-08"|"CHN"|"1"|"16500"
"2022-11-10"|"KOR"|"1"|"2000"
"2022-11-10"|"KOR"|"1"|"2000"
"2022-11-10"|"JPN"|"1"|"5000"
"2022-11-12"|"KOR"|"1"|"1500"
"2022-11-13"|"USA"|"1"|"15000"
"2022-11-13"|"USA"|"1"|"15000"
"2022-11-14"|"GBR"|"1"|"1000"
"2022-11-15"|"IRL"|"1"|"1000"
"2022-11-16"|"GRC"|"1"|"3000"
"2022-11-19"|"AUS"|"1"|"1000"
"2022-11-20"|"SGP"|"1"|"13500"
"2022-11-20"|"CHN"|"2"|"3000"
"2022-11-22"|"AUS"|"1"|"2000"
"2022-11-23"|"MMR"|"1"|"1500"
"2022-11-23"|"GBR"|"1"|"1500"
"2022-11-24"|"CAN"|"1"|"2500"
"2022-11-26"|"CHN"|"1"|"20000"
"2022-11-27"|"GBR"|"1"|"1000"
"2022-11-27"|"MEX"|"1"|"2500"
"2022-11-28"|"PHL"|"1"|"2500"
"2022-11-29"|"USA"|"2"|"10000"
"2022-12-01"|"USA"|"1"|"20000"
"2022-12-01"|"DEU"|"1"|"1000"
"2022-12-01"|"FRA"|"1"|"20000"
"2022-12-02"|"ISR"|"1"|"2500"
"2022-12-05"|"KHM"|"1"|"1000"
"2022-12-05"|"USA"|"1"|"6000"
"2022-12-05"|"KOR"|"1"|"2500"
"2022-12-07"|"NLD"|"1"|"1500"
"2022-12-07"|"IRL"|"1"|"3000"
"2022-12-08"|"DEU"|"1"|"20000"
"2022-12-08"|"IND"|"1"|"1000"
"2022-12-08"|"JPN"|"1"|"4500"
"2022-12-08"|"USA"|"1"|"5000"
"2022-12-09"|"AUS"|"1"|"19500"
"2022-12-09"|"CHN"|"2"|"30000"
"2022-12-09"|"MMR"|"1"|"4500"
"2022-12-10"|"GBR"|"1"|"9500"
"2022-12-11"|"MYS"|"1"|"2500"
"2022-12-13"|"CHE"|"1"|"5000"
"2022-12-13"|"CHN"|"1"|"20000"
"2022-12-13"|"CHN"|"1"|"15000"
"2022-12-13"|"CHN"|"1"|"4000"
"2022-12-15"|"SWE"|"1"|"1000"
"2022-12-15"|"KOR"|"1"|"1000"
"2022-12-15"|"USA"|"1"|"3500"
"2022-12-17"|"AUS"|"1"|"15000"
"2022-12-18"|"CHN"|"1"|"25000"
"2022-12-19"|"KOR"|"1"|"1000"
"2022-12-20"|"USA"|"2"|"2000"
"2022-12-26"|"USA"|"2"|"2000"
"2022-12-25"|"JPN"|"1"|"12500"
"2022-12-24"|"CHN"|"1"|"20000"
"2022-12-22"|"DEU"|"1"|"3000"
"2022-12-22"|"KHM"|"1"|"1500"
"2022-12-21"|"CHN"|"1"|"20000"
"2022-12-21"|"USA"|"2"|"40000"
"2022-12-30"|"MMR"|"1"|"4000"
"2022-12-29"|"IRL"|"2"|"3500"
"2022-12-29"|"CYP"|"2"|"8000"
"2022-12-28"|"MMR"|"1"|"20000"
"2022-12-28"|"ROU"|"1"|"8000"
"2022-12-27"|"SVN"|"1"|"5000"
"2023-01-01"|"GBR"|"1"|"2000"
"2023-01-03"|"TWN"|"1"|"20000"
"2023-01-04"|"CAN"|"1"|"8000"
"2023-01-05"|"USA"|"1"|"1000"
"2023-01-07"|"THA"|"1"|"800"
